Unique Random ID,Petri Dish ID#,C/T,Plant ID,Species,Site,Plot,# seeds (50 seeds),# seeds Petri dish in lab,ungerminated seed count GD33,total germinated seeds,Seeds Collection DOY,Phenology,# seeds (all seeds),weight all seeds (g/mg),# extra seed,weight extra seeds (g/mg),weight 50 seeds (mg),Extra seeds (Y/N),Processor,Comments,Unique non random ID,# Dryas flwrs,Dryas seed Ripeness,Notes
67,Dr067,T,403,Dryas,WILL,1,50,50,49,0,224,Y,50,6.36,,1.22,5.14,Y,Hailey,re-weighed due to taring error,143,2,2,
68,Dr068,C,5R,Dryas,CASS,4,50,50,48,0,224,Y,50,6.05,,2.62,3.43,Y,Hailey,re-weighed due to taring error,12,2,3,
69,Dr069,T,15,Dryas,DRY,3,50,44,44,0,224,Y,50,12.51,,6.92,5.59,Y,Hailey,re-weighed due to taring error,82,2,2,
70,Dr070,T,450,Dryas,MEAD,2,0,0,,,224,Y,0,0,,0,0,N,Hailey,,126,2,1,
71,Dr071,C,20F,Dryas,FERT,39,50,51,50,0,224,Y,50,20.23,,13.81,6.42,Y,Hailey,,121,2,2,
72,Dr072,T,N11,Dryas,CASS,8,45,46,31,14,224,N,45,8.52,,0,8.52,N,Hailey,,29,1,2,
73,Dr073,T,N3,Dryas,CASS,2,50,50,49,0,224,N,50,16.27,,13.39,2.88,Y,Hailey,,8,4,3,
74,Dr074,C,N17,Dryas,CASS,11,50,50,50,0,224,N,50,18.31,,12.68,5.63,Y,Hailey,,40,3,3,
75,Dr075,C,N4,Dryas,DRY,3,50,51,51,0,224,N,50,22.18,,15.01,7.17,Y,Hailey,,79,2,3,
76,Dr076,C,451,Dryas,MEAD,2,50,53,53,0,224,Y,54,5.06,4,0.33,4.73,Y,Hailey,,125,1,2,
77,Dr077,C,5R,Dryas,WILL,6,48,46,44,0,224,Y,48,3.09,0,0,3.09,Y,Hailey,,160,2,2,
78,Dr078,T,N28,Dryas,CASS,16,50,50,30,20,224,N,50,13.18,,4.31,8.87,Y,Hailey,,62,1,2,
79,Dr079,T,555,Dryas,CASS,12,50,50,49,1,224,Y,50,16.92,,10.96,5.96,Y,Hailey,,45,4,3,
80,Dr080,C,11,Dryas,MIGR,24,50,52,51,0,225,N,50,9.98,,3.49,6.49,Y,Hailey,,187,1,3,
81,Dr081,T,6R,Dryas,WILL,8,50,50,20,28,224,Y,50,55.89,,45.72,10.17,Y,Andrew,,170,3,2,
82,Dr082,C,23,Dryas,DRY,4,50,50,50,0,224,Y,50,9.27,,5.32,3.95,Y,Andrew,,84,2,2,
83,Dr083,C,N9,Dryas,DRY,6,50,50,48,0,224,N,50,23.29,,18.49,4.8,Y,Andrew,,91,4,2,
84,Dr084,T,437,Dryas,WILL,10,50,50,38,9,224,Y,50,28.49,,20.44,8.05,Y,Andrew,,175,3,3,
85,Dr085,T,8,Dryas,MIGR,19,50,50,50,0,225,N,50,11.02,,5.19,5.83,Y,Hailey,,184,1,2,
86,Dr086,T,1,Dryas,DRY,1,50,50,21,30,224,Y,50,32.52,,21.95,10.57,Y,Hailey,All other plants should have a long term phenology record,73,3,3,
87,Dr087,C,N10,Dryas,DRY,6,50,49,48,0,224,N,50,18.06,,12.5,5.56,Y,Hailey,,92,3,2,
88,Dr088,C,429,Dryas,WILL,6,50,49,49,0,224,Y,50,19.39,,12.89,6.5,Y,Hailey,,159,3,2,
89,Dr089,C,4R,Dryas,CASS,2,40,40,37,0,224,Y,40,2.71,,0,2.71,N,Hailey,,6,2,2,
90,Dr090,C,412,Dryas,WILL,2,50,50,50,0,224,Y,50,18.01,,14.53,3.48,Y,Andrew,,146,3,2,
91,Dr091,C,558,Dryas,CASS,12,0,0,,,224,Y,0,0,0,0,0,N,Zoe,,43,1,1,
92,Dr092,C,28,Dryas,DRY,5,50,49,49,0,224,Y,50,7.1,,1.66,5.44,Y,Zoe,,87,1,2,
93,Dr093,T,8R,Dryas,WILL,10,50,48,50,0,224,Y,50,13.5,,7.49,6.01,Y,Zoe,,176,2,2,
94,Dr094,T,401,Dryas,WILL,1,50,50,16,33,224,Y,50,36.79,,25.37,11.42,Y,Zoe,,144,2,3,
95,Dr095,C,473,Dryas,MEAD,7,0,0,,,224,Y,0,0,0,0,0,N,Zoe,,134,1,1,
96,Dr096,C,18,Dryas,DRY,3,0,0,,,224,Y,0,0,0,0,0,N,Zoe,,80,1,1,
97,Dr097,C,1F,Dryas,FERT,5,50,50,50,0,224,Y,50,17.15,,11.75,5.4,Y,Zoe,,107,2,2,
98,Dr098,T,24R,Dryas,CASS,18,50,49,42,6,224,Y,50,34.51,,28.3,6.21,Y,Zoe,,69,5,3,
99,Dr099,T,N15,Dryas,DRY,9,50,50,50,1,224,N,50,19.87,,12.98,6.89,Y,Andrew,,103,2,2,
100,Dr100,C,414,Dryas,WILL,3,0,0,,,224,Y,0,0,0,0,0,N,Hailey,,150,1,1,
101,Dr101,T,N3,Dryas,FERT,16,50,50,35,16,224,N,50,22.7,,14.25,8.45,Y,Hailey,,114,2,3,
102,Dr102,T,19R,Dryas,CASS,15,50,50,49,0,224,Y,50,14.15,,8.7,5.45,Y,Hailey,,58,2,2,
103,Dr103,T,N8,Dryas,DRY,5,52,52,25,27,224,N,52,8.72,0,0,8.72,N,Hailey,,90,1,2,
104,Dr104,C,4F,Dryas,FERT,7,50,52,52,0,224,Y,50,12.78,,8.44,4.34,Y,Hailey,,109,2,2,
105,Dr105,C,5,Dryas,MIGR,6,50,49,50,0,225,N,68,6.24,18,1.31,4.93,Y,Andrew,,181,1,2,
106,Dr106,C,572,Dryas,CASS,16,0,0,,,224,Y,0,0,0,0,0,N,Andrew,,60,1,1,
107,Dr107,T,448,Dryas,WILL,7,50,51,50,0,224,Y,66,8.86,16,2.21,6.65,Y,Andrew,,165,1,2,
108,Dr108,C,7R,Dryas,WILL,9,50,59,49,0,224,Y,65,5.39,15,0.95,4.44,Y,Andrew,,172,2,2,
109,Dr109,C,6R,Dryas,DRY,1,50,50,49,0,224,Y,50,9,,5.4,3.6,Y,Andrew,R means no long term phenology exists and those plants were selected on the first phenology date,72,2,2,
110,Dr110,T,3F,Dryas,FERT,6,50,50,35,14,224,Y,50,11.29,,2.85,8.44,Y,Andrew,,108,1,3,
111,Dr111,T,12F,Dryas,FERT,22,50,50,49,0,224,Y,50,7.5,,3.18,4.32,Y,Andrew,,115,1,2,
112,Dr112,C,7F,Dryas,FERT,13,50,50,50,0,224,Y,50,18.14,,13.78,4.36,Y,Andrew,,111,3,3,
113,Dr113,C,506,Dryas,CASS,1,50,50,47,0,224,Y,69,3.36,19,0.8,2.56,Y,Andrew,186 seeds,1,1,2,
114,Dr114,T,N12,Dryas,DRY,7,50,50,41,9,224,N,50,24.07,,13.87,10.2,Y,Andrew,,95,2,2,
115,Dr115,C,47,Dryas,DRY,8,50,49,43,0,224,Y,50,8.02,,4.19,3.83,Y,Andrew,,98,1,2,
116,Dr116,T,444,Dryas,MEAD,1,46,46,46,0,224,Y,46,6.39,0,0,6.39,N,Isabel,,124,1,2,
117,Dr117,T,4R,Dryas,WILL,4,50,50,49,1,224,Y,50,17.09,,10.88,6.21,Y,Isabel,,154,2,2,
118,Dr118,C,534,Dryas,CASS,8,50,48,48,0,224,Y,50,9.81,,6.81,3,Y,Isabel,,27,2,3,
119,Dr119,T,2R,Dryas,CASS,2,50,50,45,0,224,Y,50,21.85,,18.86,2.99,Y,Isabel,,7,3,3,
120,Dr120,C,9,Dryas,MIGR,21,50,50,49,0,225,N,50,10.25,,3.48,6.77,Y,Andrew,,185,1,,
121,Dr121,C,444,Dryas,WILL,7,0,0,,,224,Y,0,0,0,0,0,N,Zoe,,163,1,1,
122,Dr122,C,441,Dryas,WILL,10,49,49,50,0,224,Y,49,4.97,0,0,4.97,N,Zoe,,174,1,2,
123,Dr123,T,7,Dryas,DRY,2,50,50,48,0,224,Y,50,24.87,,17.96,6.91,Y,Zoe,,78,3,2,
124,Dr124,T,25R,Dryas,CASS,18,50,51,46,0,224,Y,50,13.6,,9.71,3.89,Y,Hailey,,70,2,2,
