File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
W2.F02.W2a11_ALAS0W_7_263_R1_val_1_bismark_bt2_pe.bam	59971569	41069307	10227576	8674486	200	5970403	35098904	1250105040	48125036	72435258	27197940	145805460	26622254	929919092
W2.F04.W2b12_SVAL8W_8_272_R1_val_1_bismark_bt2_pe.bam	63144104	43675308	8618067	10850460	269	6258752	37416556	1255856436	45092198	84514730	19323217	155035210	18445128	933445953
W2.F12.W2f5_LATC3W_16_220_R1_val_1_bismark_bt2_pe.bam	63351926	45162171	9174289	9015231	235	7273832	37888339	1351167453	51412685	84351373	31969670	155235703	32728223	995469799
W2.G02.W2c11_ALAS0W_8_265_R1_val_1_bismark_bt2_pe.bam	52845028	36169481	8913707	7761658	182	4758163	31411318	1113573258	42159463	67530016	24022203	130117269	23691869	826052438
W2.G11.W2h3_LATD2W_5_206_R1_val_1_bismark_bt2_pe.bam	58826076	41314529	8619818	8891489	240	6709551	34604978	1217330287	44877253	79383951	25054892	143808534	23571043	900634614
W2.H01.W2b9_ALAS0W_18_248_R1_val_1_bismark_bt2_pe.bam	58805777	40042323	10550014	8213247	193	6327964	33714359	1203249968	46806285	70037974	28088193	138881799	28130537	891305180
W2.H02.W2a12_SVAL18W_18_271_R1_val_1_bismark_bt2_pe.bam	62034890	43561148	8696945	9776609	188	6858492	36702656	1295438843	46479371	87986616	25324550	154274722	23505350	957868234
W2.H04.W2d12_SVAL6W_6_274_R1_val_1_bismark_bt2_pe.bam	60514990	42533816	7816328	10164584	262	6809947	35723869	1181190341	41671595	82975766	22573929	141592222	22201724	870175105
W2.H10.W2h1_LATC5W_18_190_R1_val_1_bismark_bt2_pe.bam	67182355	47652613	9294105	10235403	234	9150665	38501948	1330790612	51131977	80885230	29837193	154548219	30547311	983840682
W2.H11.W2a4_LATD4W_9_207_R1_val_1_bismark_bt2_pe.bam	81955131	56730811	11723870	13500136	314	10893416	45837395	1628768348	57951778	112998186	32939492	192631972	32123323	1200123597
W4.G10.W2d1_DRY9W_50_185_R1_val_1_bismark_bt2_pe.bam	48428872	33193422	7313881	7921374	195	3180465	30012957	1040958557	34655700	76304436	19247162	125676262	18990795	766084202
